;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;"ООО ""Издательство Астрель""";www.planetaznaniy.astrel.ru;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;КОЛОНКИ НЕ УДАЛЯТЬ!!!!!! (можно только скрывать);;;;;;;;;;;;;Почтовый адрес: Россия, 123308, г.Москва, ул.Зорге, д.1 тел.+7(495)795-05-50/51    ;;;"Обязательные поля для заполнения Заказчиком залиты желтым цветом 1) Заполнить на вкладке ""РЕКВИЗИТЫ Заказчика"" формы для КАЖДОГО получателя; 2)Заполнить количества по потребности образовательного учреждения в соответствующую ему колонку, в заголовке колонки указать наименование получателя (можно сокращенное) и ОБЯЗАТЕЛЬНО указать ИНН получателя 3) Итоги заказа по каждому получателю и по муниципальному образованию (по количеству и сумме) при этом получатся автоматически; 4) НЕ ИЗМЕНЯЙТЕ присланный Вам ФАЙЛ.  Не удалаяйте колонки и строки. Будьте внимательны!";;КОЛОНКИ НЕ УДАЛЯТЬ!!!!!! (можно только скрывать);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;Сводный заказ по муниципальному образованию;;Указать наименование получателя №1, ИНН ;;Указать наименование получателя №2, ИНН ;;Указать наименование получателя №3, ИНН;;Указать наименование получателя №4, ИНН;;Указать наименование получателя №5, ИНН;;Указать наименование получателя №6, ИНН;;Указать наименование получателя №7, ИНН;;Указать наименование получателя №8, ИНН;;Указать наименование получателя №9, ИНН;;Указать наименование получателя №10, ИНН;;Указать наименование получателя №11, ИНН;;Указать наименование получателя №12, ИНН;;Указать наименование получателя №13, ИНН;;Указать наименование получателя №14, ИНН;;Указать наименование получателя №15, ИНН;;Указать наименование получателя №16, ИНН;;Указать наименование получателя №17, ИНН;;Указать наименование получателя №18, ИНН;;Указать наименование получателя №19, ИНН;;Указать наименование получателя №20, ИНН;;Указать наименование получателя №21, ИНН;;Указать наименование получателя №22, ИНН;;Указать наименование получателя №23, ИНН;;Указать наименование получателя №24, ИНН;;Указать наименование получателя №25, ИНН;;Указать наименование получателя №26, ИНН;;Указать наименование получателя №27, ИНН;;Указать наименование получателя №28, ИНН;;Указать наименование получателя №29, ИНН;;Указать наименование получателя №30, ИНН;;Указать наименование получателя №31, ИНН;;Указать наименование получателя №32, ИНН;;Указать наименование получателя №33, ИНН;;Указать наименование получателя №34, ИНН;;Указать наименование получателя №35, ИНН;;Указать наименование получателя №36, ИНН;;Указать наименование получателя №37, ИНН;;Указать наименование получателя №38, ИНН;;Указать наименование получателя №39, ИНН;;Указать наименование получателя №40, ИНН;;Указать наименование получателя №41, ИНН;;Указать наименование получателя №42, ИНН;;Указать наименование получателя №43, ИНН;;Указать наименование получателя №44, ИНН;;Указать наименование получателя №45, ИНН;;Указать наименование получателя №46, ИНН;;Указать наименование получателя №47, ИНН;;Указать наименование получателя №48, ИНН;;Указать наименование получателя №49, ИНН;;Указать наименование получателя №50, ИНН;;Указать наименование получателя №51, ИНН;;Указать наименование получателя №52, ИНН;;Указать наименование получателя №53, ИНН;;Указать наименование получателя №54, ИНН;;Указать наименование получателя №55, ИНН;;Указать наименование получателя №56, ИНН;;Указать наименование получателя №57, ИНН;;Указать наименование получателя №58, ИНН;;Указать наименование получателя №59, ИНН;;Указать наименование получателя №60, ИНН;;Указать наименование получателя №61, ИНН;;Указать наименование получателя №62, ИНН;;Указать наименование получателя №63, ИНН;;Указать наименование получателя №63, ИНН;;Указать наименование получателя №64, ИНН;;Указать наименование получателя №65, ИНН;;Указать наименование получателя №66, ИНН;;Указать наименование получателя №67, ИНН;;Указать наименование получателя №68, ИНН;;Указать наименование получателя №69, ИНН;;Указать наименование получателя №70, ИНН;;Указать наименование получателя №71, ИНН;;Указать наименование получателя №71, ИНН;;Указать наименование получателя №72, ИНН;;Указать наименование получателя №73, ИНН;;Указать наименование получателя №74, ИНН;;Указать наименование получателя №75, ИНН;
№ п/п;№ по ФП;Код заказа 1С ;Номер предложки;РИН;Формат;Вид переплета;Красочн;Красоч_форз;Красоч_обл;ВидПечати;ПлТекст;ПлБумОбл;Стр;Автор/авторский коллектив;Наименование учебника по проекту Федерального перечня;Класс;Автор и полное наименование в 1С Издательства.;№ авторского договора;Дата автоского договора;Стандарт;Принадлежность к системе учебников;Наименование издателя учебника;Адрес страницы об учебнике на официальном сайте издателя (издательств);Комментарий;Цена с доставкой (в т.ч. НДС), руб.;Кол-во, шт.;Стоимость, в т.ч. НДС,руб.;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС ;Кол-во, шт.;Стоимость, в т.ч. НДС 
1;1.1.1.1.2.1;ASE000000000707390;;218995;84x108/16;7-инт;4+4;4+0;4+0;офсет;80;;112;Андрианова Т.М.;Букварь;1;Андрианова Т.М.Букварь;37-А\ОП-01 Доп.согл.№ 1  ;10.04.2001 02.04.2007;16;фгос;Планета знаний;https://partners.eksmo.ru/images/astcover/ASE000000000707390_cover1.jpg;;261.00;0;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00
2;1.1.1.1.2.2;ASE000000000707379;;218979;84x108/16;7-инт;4+4;4+0;4+0;офсет;80;;96;Андрианова Т.М., Илюхина В.А.;Русский язык.;1;Андрианова Т.М., Илюхина В.А.Русский язык.;145-А\ОП-01   Доп.согл.№1  ;28.06.2001 02.04.2007;16;фгос;Планета знаний;https://partners.eksmo.ru/images/astcover/ASE000000000707379_cover1.jpg;;254.00;0;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00
3;1.1.1.1.2.3;ASE000000000710465;;220239;84x108/16;7-инт;4+4;4+0;4+0;офсет;80;;144;Желтовская Л.Я., Калинина О.Б;Русский язык в 2-х частях.;2;Желтовская Л.Я., Калинина О.Б.Русский язык в 2-х частях. Часть 1;24-А/ОП-10 ;06.04.2010;10;фгос;Планета знаний;https://partners.eksmo.ru/images/astcover/ASE000000000710465_cover1.jpg;;302.00;0;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00
4;1.1.1.1.2.3;ASE000000000710471;;220240;84x108/16;7-инт;4+4;4+0;4+0;офсет;80;;144;Желтовская Л.Я., Калинина О.Б;Русский язык в 2-х частях. ;2;Желтовская Л.Я., Калинина О.Б.Русский язык в 2-х частях. Часть 2; 25-А/ОП-10 ;06.04.2010;10;фгос;Планета знаний;https://partners.eksmo.ru/images/astcover/AST000000000037069_cover1.jpg;;302.00;0;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00
5;1.1.1.1.2.4;AST000000000165312;;208132;84x108/16;7-инт;4+4;4+0;4+0;офсет;80;;144;Желтовская Л.Я., Калинина О.Б;Русский язык в 2-х частях. ;3;Желтовская Л.Я., Калинина О.Б.Русский язык в 2-х частях. Часть 1;46-А/ОП-10;02.04.2010;16;фгос;Планета знаний;https://partners.eksmo.ru/images/astcover/AST000000000037077_cover1.jpg;;302.00;0;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00;;0.00
